Institution Name,City,State,Postal Code,Website,Average SAT for males,Average SAT for females,Average GPA for males,Average GPA for females,In state tuition,Out state tuition,Average ACT males,Average ACT females,Average number of AP Classes as male,Average number of AP Classes as female,Average number of Extracurriculars
Palestine Polytechnic University,Alexandria,Virginia,22301,https://timesonline.co.uk/viverra/pede/ac/diam.xml?blandit=risus&ultrices=dapibus&enim=augue&lorem=vel&ipsum=accumsan&dolor=tellus&sit=nisi&amet=eu&consectetuer=orci&adipiscing=mauris&elit=lacinia&proin=sapien&interdum=quis&mauris=libero&non=nullam&ligula=sit&pellentesque=amet&ultrices=turpis&phasellus=elementum&id=ligula&sapien=vehicula&in=consequat&sapien=morbi&iaculis=a&congue=ipsum&vivamus=integer&metus=a&arcu=nibh&adipiscing=in&molestie=quis&hendrerit=justo&at=maecenas&vulputate=rhoncus&vitae=aliquam&nisl=lacus&aenean=morbi&lectus=quis&pellentesque=tortor&eget=id&nunc=nulla&donec=ultrices&quis=aliquet&orci=maecenas&eget=leo&orci=odio&vehicula=condimentum&condimentum=id&curabitur=luctus&in=nec&libero=molestie&ut=sed&massa=justo&volutpat=pellentesque&convallis=viverra&morbi=pede&odio=ac&odio=diam&elementum=cras&eu=pellentesque&interdum=volutpat&eu=dui&tincidunt=maecenas&in=tristique&leo=est&maecenas=et&pulvinar=tempus&lobortis=semper&est=est,1433,853,2.98,1.43,31278,37642,12,25,17,15,9
Ivanovo State Academy of Medicine,Toledo,Ohio,43699,https://infoseek.co.jp/vestibulum/sagittis/sapien/cum/sociis/natoque.aspx?pharetra=ligula&magna=sit&ac=amet&consequat=eleifend&metus=pede&sapien=libero&ut=quis&nunc=orci&vestibulum=nullam&ante=molestie&ipsum=nibh&primis=in&in=lectus&faucibus=pellentesque&orci=at&luctus=nulla&et=suspendisse&ultrices=potenti&posuere=cras&cubilia=in&curae=purus&mauris=eu&viverra=magna&diam=vulputate&vitae=luctus&quam=cum&suspendisse=sociis&potenti=natoque&nullam=penatibus&porttitor=et&lacus=magnis&at=dis&turpis=parturient&donec=montes&posuere=nascetur&metus=ridiculus&vitae=mus&ipsum=vivamus&aliquam=vestibulum&non=sagittis&mauris=sapien&morbi=cum&non=sociis&lectus=natoque&aliquam=penatibus&sit=et&amet=magnis&diam=dis&in=parturient&magna=montes&bibendum=nascetur&imperdiet=ridiculus&nullam=mus&orci=etiam&pede=vel&venenatis=augue&non=vestibulum&sodales=rutrum&sed=rutrum&tincidunt=neque&eu=aenean&felis=auctor&fusce=gravida&posuere=sem&felis=praesent&sed=id&lacus=massa&morbi=id&sem=nisl&mauris=venenatis&laoreet=lacinia&ut=aenean&rhoncus=sit&aliquet=amet,1489,1568,2.86,3.74,26827,52877,36,11,16,18,3
Belarussian State Polytechnical Academy,Raleigh,North Carolina,27690,https://wikia.com/sit/amet.xml?accumsan=erat&tellus=id&nisi=mauris&eu=vulputate&orci=elementum&mauris=nullam&lacinia=varius,1325,1581,1.27,3.45,14765,38840,15,27,0,16,1
Baghlan University,Ann Arbor,Michigan,48107,http://github.io/suscipit/nulla/elit/ac/nulla/sed/vel.jpg?nascetur=nibh&ridiculus=fusce&mus=lacus&etiam=purus&vel=aliquet&augue=at&vestibulum=feugiat&rutrum=non&rutrum=pretium&neque=quis&aenean=lectus&auctor=suspendisse&gravida=potenti&sem=in&praesent=eleifend&id=quam&massa=a&id=odio&nisl=in&venenatis=hac&lacinia=habitasse&aenean=platea&sit=dictumst&amet=maecenas&justo=ut&morbi=massa&ut=quis&odio=augue&cras=luctus&mi=tincidunt&pede=nulla&malesuada=mollis&in=molestie&imperdiet=lorem&et=quisque&commodo=ut&vulputate=erat&justo=curabitur&in=gravida&blandit=nisi&ultrices=at&enim=nibh&lorem=in&ipsum=hac&dolor=habitasse&sit=platea&amet=dictumst&consectetuer=aliquam&adipiscing=augue&elit=quam&proin=sollicitudin&interdum=vitae&mauris=consectetuer&non=eget&ligula=rutrum&pellentesque=at&ultrices=lorem&phasellus=integer&id=tincidunt&sapien=ante,851,1538,1.0,0.77,24039,38310,24,34,0,18,4
Xinjiang University,Joliet,Illinois,60435,https://360.cn/vestibulum.png?feugiat=massa&et=tempor&eros=convallis&vestibulum=nulla&ac=neque&est=libero&lacinia=convallis&nisi=eget&venenatis=eleifend&tristique=luctus&fusce=ultricies&congue=eu&diam=nibh&id=quisque&ornare=id&imperdiet=justo&sapien=sit&urna=amet&pretium=sapien&nisl=dignissim&ut=vestibulum&volutpat=vestibulum&sapien=ante&arcu=ipsum&sed=primis&augue=in&aliquam=faucibus&erat=orci&volutpat=luctus&in=et&congue=ultrices&etiam=posuere&justo=cubilia&etiam=curae&pretium=nulla&iaculis=dapibus&justo=dolor&in=vel&hac=est&habitasse=donec&platea=odio&dictumst=justo&etiam=sollicitudin&faucibus=ut&cursus=suscipit&urna=a&ut=feugiat&tellus=et&nulla=eros&ut=vestibulum&erat=ac&id=est&mauris=lacinia&vulputate=nisi&elementum=venenatis&nullam=tristique&varius=fusce&nulla=congue&facilisi=diam&cras=id&non=ornare&velit=imperdiet&nec=sapien&nisi=urna&vulputate=pretium&nonummy=nisl&maecenas=ut&tincidunt=volutpat&lacus=sapien&at=arcu&velit=sed&vivamus=augue&vel=aliquam&nulla=erat&eget=volutpat&eros=in&elementum=congue,1568,936,0.79,2.66,27905,35087,34,14,12,14,3
Pennsylvania State University - Altoona,Fort Worth,Texas,76178,https://tamu.edu/vulputate/ut.html?in=sapien&eleifend=urna&quam=pretium&a=nisl&odio=ut&in=volutpat&hac=sapien&habitasse=arcu&platea=sed&dictumst=augue&maecenas=aliquam&ut=erat&massa=volutpat&quis=in&augue=congue&luctus=etiam&tincidunt=justo&nulla=etiam&mollis=pretium&molestie=iaculis&lorem=justo&quisque=in&ut=hac&erat=habitasse&curabitur=platea&gravida=dictumst&nisi=etiam&at=faucibus,1014,1578,1.35,1.87,36158,30914,20,23,6,3,11
Riga Teacher Training and Educational Management Academy,Hamilton,Ohio,45020,http://java.com/eget.jsp?amet=luctus&eleifend=nec&pede=molestie&libero=sed&quis=justo&orci=pellentesque&nullam=viverra&molestie=pede&nibh=ac&in=diam&lectus=cras&pellentesque=pellentesque&at=volutpat&nulla=dui&suspendisse=maecenas&potenti=tristique&cras=est&in=et&purus=tempus&eu=semper&magna=est&vulputate=quam&luctus=pharetra&cum=magna&sociis=ac&natoque=consequat&penatibus=metus&et=sapien&magnis=ut&dis=nunc&parturient=vestibulum&montes=ante&nascetur=ipsum&ridiculus=primis&mus=in&vivamus=faucibus&vestibulum=orci&sagittis=luctus&sapien=et&cum=ultrices&sociis=posuere&natoque=cubilia&penatibus=curae&et=mauris&magnis=viverra&dis=diam&parturient=vitae&montes=quam&nascetur=suspendisse&ridiculus=potenti&mus=nullam&etiam=porttitor&vel=lacus&augue=at&vestibulum=turpis&rutrum=donec&rutrum=posuere&neque=metus&aenean=vitae&auctor=ipsum&gravida=aliquam&sem=non&praesent=mauris&id=morbi&massa=non&id=lectus&nisl=aliquam&venenatis=sit&lacinia=amet&aenean=diam&sit=in&amet=magna&justo=bibendum&morbi=imperdiet&ut=nullam&odio=orci&cras=pede&mi=venenatis&pede=non&malesuada=sodales&in=sed&imperdiet=tincidunt&et=eu&commodo=felis&vulputate=fusce&justo=posuere&in=felis&blandit=sed&ultrices=lacus&enim=morbi,787,1213,0.88,2.44,12188,57307,19,17,20,4,12
School of Business and Finance,Birmingham,Alabama,35242,https://sciencedaily.com/ultrices.jsp?non=non&quam=sodales&nec=sed&dui=tincidunt&luctus=eu&rutrum=felis&nulla=fusce&tellus=posuere&in=felis&sagittis=sed&dui=lacus&vel=morbi&nisl=sem&duis=mauris&ac=laoreet&nibh=ut&fusce=rhoncus&lacus=aliquet&purus=pulvinar&aliquet=sed&at=nisl&feugiat=nunc&non=rhoncus&pretium=dui&quis=vel&lectus=sem&suspendisse=sed&potenti=sagittis&in=nam&eleifend=congue&quam=risus&a=semper&odio=porta&in=volutpat&hac=quam&habitasse=pede&platea=lobortis&dictumst=ligula&maecenas=sit,1471,1125,2.27,3.74,29356,28096,32,11,0,15,7
Józef Tyszkiewicz College of Business and Computer Science in Bielsko-Biala,Whittier,California,90605,http://rambler.ru/ut/ultrices/vel/augue.jpg?quam=potenti&a=cras&odio=in&in=purus&hac=eu&habitasse=magna&platea=vulputate&dictumst=luctus&maecenas=cum&ut=sociis&massa=natoque&quis=penatibus&augue=et&luctus=magnis&tincidunt=dis&nulla=parturient&mollis=montes&molestie=nascetur&lorem=ridiculus&quisque=mus&ut=vivamus&erat=vestibulum&curabitur=sagittis&gravida=sapien&nisi=cum&at=sociis&nibh=natoque&in=penatibus&hac=et&habitasse=magnis&platea=dis&dictumst=parturient&aliquam=montes&augue=nascetur&quam=ridiculus&sollicitudin=mus&vitae=etiam&consectetuer=vel&eget=augue&rutrum=vestibulum&at=rutrum&lorem=rutrum&integer=neque&tincidunt=aenean&ante=auctor&vel=gravida&ipsum=sem&praesent=praesent&blandit=id&lacinia=massa&erat=id&vestibulum=nisl&sed=venenatis&magna=lacinia&at=aenean&nunc=sit&commodo=amet&placerat=justo&praesent=morbi&blandit=ut&nam=odio&nulla=cras&integer=mi&pede=pede&justo=malesuada&lacinia=in&eget=imperdiet&tincidunt=et&eget=commodo&tempus=vulputate&vel=justo&pede=in&morbi=blandit&porttitor=ultrices,908,770,0.78,1.04,21047,47905,11,12,9,14,15
Sinnar University,Greenville,South Carolina,29615,https://smugmug.com/vulputate/vitae/nisl.html?magnis=pretium&dis=iaculis&parturient=diam&montes=erat&nascetur=fermentum&ridiculus=justo&mus=nec&etiam=condimentum&vel=neque&augue=sapien&vestibulum=placerat&rutrum=ante&rutrum=nulla&neque=justo&aenean=aliquam&auctor=quis&gravida=turpis&sem=eget&praesent=elit&id=sodales&massa=scelerisque&id=mauris&nisl=sit&venenatis=amet&lacinia=eros&aenean=suspendisse&sit=accumsan&amet=tortor&justo=quis&morbi=turpis&ut=sed&odio=ante&cras=vivamus&mi=tortor&pede=duis&malesuada=mattis&in=egestas&imperdiet=metus&et=aenean&commodo=fermentum&vulputate=donec&justo=ut&in=mauris&blandit=eget&ultrices=massa&enim=tempor&lorem=convallis&ipsum=nulla&dolor=neque&sit=libero&amet=convallis&consectetuer=eget&adipiscing=eleifend&elit=luctus,1056,1395,3.47,2.17,11389,55840,35,19,2,19,6
Université de Poitiers,Houston,Texas,77020,https://google.com.au/fusce/lacus/purus/aliquet.aspx?ut=risus&blandit=semper&non=porta&interdum=volutpat&in=quam&ante=pede&vestibulum=lobortis&ante=ligula&ipsum=sit&primis=amet&in=eleifend&faucibus=pede&orci=libero&luctus=quis&et=orci&ultrices=nullam&posuere=molestie,1002,1287,1.89,3.36,15790,70457,31,27,1,20,3
Norton University,Knoxville,Tennessee,37931,https://answers.com/vel.png?in=justo&porttitor=in&pede=hac&justo=habitasse&eu=platea&massa=dictumst&donec=etiam&dapibus=faucibus&duis=cursus&at=urna&velit=ut&eu=tellus&est=nulla&congue=ut&elementum=erat&in=id&hac=mauris&habitasse=vulputate&platea=elementum&dictumst=nullam&morbi=varius&vestibulum=nulla&velit=facilisi&id=cras&pretium=non&iaculis=velit&diam=nec&erat=nisi&fermentum=vulputate&justo=nonummy&nec=maecenas&condimentum=tincidunt&neque=lacus&sapien=at&placerat=velit&ante=vivamus&nulla=vel&justo=nulla&aliquam=eget&quis=eros&turpis=elementum&eget=pellentesque&elit=quisque&sodales=porta&scelerisque=volutpat&mauris=erat&sit=quisque&amet=erat&eros=eros&suspendisse=viverra&accumsan=eget&tortor=congue&quis=eget&turpis=semper&sed=rutrum&ante=nulla&vivamus=nunc&tortor=purus&duis=phasellus&mattis=in&egestas=felis&metus=donec&aenean=semper&fermentum=sapien&donec=a&ut=libero&mauris=nam&eget=dui&massa=proin&tempor=leo&convallis=odio&nulla=porttitor&neque=id&libero=consequat&convallis=in&eget=consequat&eleifend=ut&luctus=nulla&ultricies=sed&eu=accumsan&nibh=felis&quisque=ut&id=at&justo=dolor&sit=quis&amet=odio&sapien=consequat&dignissim=varius&vestibulum=integer&vestibulum=ac&ante=leo&ipsum=pellentesque&primis=ultrices&in=mattis&faucibus=odio&orci=donec&luctus=vitae&et=nisi&ultrices=nam,1178,1362,3.26,0.91,43384,57132,36,17,5,0,6
Jagiellonian University Cracow,Sacramento,California,95823,http://dailymotion.com/vitae.html?pellentesque=placerat&at=ante&nulla=nulla&suspendisse=justo&potenti=aliquam&cras=quis&in=turpis&purus=eget&eu=elit&magna=sodales&vulputate=scelerisque&luctus=mauris&cum=sit&sociis=amet&natoque=eros&penatibus=suspendisse&et=accumsan&magnis=tortor&dis=quis&parturient=turpis&montes=sed&nascetur=ante&ridiculus=vivamus&mus=tortor&vivamus=duis&vestibulum=mattis&sagittis=egestas&sapien=metus&cum=aenean&sociis=fermentum&natoque=donec&penatibus=ut&et=mauris&magnis=eget&dis=massa&parturient=tempor&montes=convallis&nascetur=nulla&ridiculus=neque&mus=libero&etiam=convallis&vel=eget&augue=eleifend&vestibulum=luctus&rutrum=ultricies&rutrum=eu&neque=nibh&aenean=quisque&auctor=id&gravida=justo&sem=sit&praesent=amet&id=sapien&massa=dignissim&id=vestibulum&nisl=vestibulum&venenatis=ante&lacinia=ipsum&aenean=primis&sit=in&amet=faucibus&justo=orci&morbi=luctus&ut=et&odio=ultrices&cras=posuere&mi=cubilia&pede=curae&malesuada=nulla&in=dapibus&imperdiet=dolor&et=vel&commodo=est&vulputate=donec&justo=odio&in=justo&blandit=sollicitudin&ultrices=ut&enim=suscipit&lorem=a&ipsum=feugiat&dolor=et&sit=eros&amet=vestibulum&consectetuer=ac&adipiscing=est&elit=lacinia&proin=nisi&interdum=venenatis&mauris=tristique&non=fusce&ligula=congue&pellentesque=diam&ultrices=id&phasellus=ornare&id=imperdiet&sapien=sapien&in=urna&sapien=pretium,997,1284,3.98,1.81,42220,42019,25,31,9,16,11
Université de Technologie de Belfort Montbéliard,Racine,Wisconsin,53405,https://mozilla.org/maecenas/leo/odio/condimentum/id/luctus/nec.js?ultrices=tellus&mattis=nulla&odio=ut&donec=erat&vitae=id&nisi=mauris&nam=vulputate&ultrices=elementum&libero=nullam&non=varius&mattis=nulla&pulvinar=facilisi&nulla=cras&pede=non&ullamcorper=velit&augue=nec&a=nisi&suscipit=vulputate&nulla=nonummy&elit=maecenas&ac=tincidunt&nulla=lacus&sed=at&vel=velit&enim=vivamus&sit=vel&amet=nulla&nunc=eget&viverra=eros&dapibus=elementum&nulla=pellentesque&suscipit=quisque&ligula=porta&in=volutpat&lacus=erat&curabitur=quisque&at=erat&ipsum=eros&ac=viverra&tellus=eget&semper=congue&interdum=eget&mauris=semper&ullamcorper=rutrum&purus=nulla&sit=nunc&amet=purus&nulla=phasellus&quisque=in&arcu=felis&libero=donec&rutrum=semper&ac=sapien&lobortis=a&vel=libero&dapibus=nam&at=dui&diam=proin&nam=leo,808,752,2.5,1.67,28612,29014,24,14,13,16,1
Universidad La Salle Cuernavaca,Houston,Texas,77299,http://amazonaws.com/ornare/imperdiet/sapien/urna/pretium.png?risus=et&dapibus=eros&augue=vestibulum&vel=ac&accumsan=est&tellus=lacinia&nisi=nisi&eu=venenatis&orci=tristique&mauris=fusce&lacinia=congue&sapien=diam&quis=id&libero=ornare&nullam=imperdiet&sit=sapien&amet=urna&turpis=pretium&elementum=nisl&ligula=ut&vehicula=volutpat&consequat=sapien&morbi=arcu&a=sed&ipsum=augue&integer=aliquam&a=erat&nibh=volutpat&in=in&quis=congue&justo=etiam&maecenas=justo&rhoncus=etiam&aliquam=pretium&lacus=iaculis&morbi=justo&quis=in&tortor=hac&id=habitasse&nulla=platea&ultrices=dictumst&aliquet=etiam&maecenas=faucibus&leo=cursus&odio=urna&condimentum=ut&id=tellus&luctus=nulla&nec=ut&molestie=erat&sed=id&justo=mauris&pellentesque=vulputate&viverra=elementum&pede=nullam&ac=varius&diam=nulla&cras=facilisi&pellentesque=cras&volutpat=non&dui=velit&maecenas=nec&tristique=nisi&est=vulputate&et=nonummy&tempus=maecenas&semper=tincidunt&est=lacus&quam=at&pharetra=velit&magna=vivamus&ac=vel&consequat=nulla&metus=eget&sapien=eros&ut=elementum&nunc=pellentesque&vestibulum=quisque&ante=porta&ipsum=volutpat&primis=erat&in=quisque&faucibus=erat,725,1366,2.58,3.38,41107,42116,21,20,12,9,14
University of Massachusetts Medical Center at Worcester,Columbia,South Carolina,29208,http://wiley.com/vitae/nisi.xml?pede=eget&lobortis=eleifend&ligula=luctus&sit=ultricies&amet=eu&eleifend=nibh&pede=quisque&libero=id&quis=justo&orci=sit&nullam=amet&molestie=sapien&nibh=dignissim&in=vestibulum&lectus=vestibulum&pellentesque=ante&at=ipsum&nulla=primis&suspendisse=in&potenti=faucibus,869,1155,1.82,2.52,16832,76271,12,17,7,14,12
Jai Prakash University,Washington,District of Columbia,20503,https://creativecommons.org/montes/nascetur/ridiculus/mus/etiam.jpg?maecenas=adipiscing&tincidunt=molestie&lacus=hendrerit&at=at&velit=vulputate&vivamus=vitae&vel=nisl&nulla=aenean&eget=lectus&eros=pellentesque&elementum=eget&pellentesque=nunc&quisque=donec&porta=quis&volutpat=orci&erat=eget&quisque=orci&erat=vehicula,1494,1459,2.74,1.48,38349,51326,10,28,7,9,9
Guangzhou Normal University,Madison,Wisconsin,53716,http://dyndns.org/ut/erat.jsp?sit=justo&amet=maecenas&lobortis=rhoncus&sapien=aliquam&sapien=lacus&non=morbi&mi=quis&integer=tortor&ac=id&neque=nulla&duis=ultrices&bibendum=aliquet&morbi=maecenas&non=leo&quam=odio&nec=condimentum&dui=id&luctus=luctus&rutrum=nec&nulla=molestie&tellus=sed&in=justo&sagittis=pellentesque&dui=viverra&vel=pede&nisl=ac&duis=diam&ac=cras&nibh=pellentesque&fusce=volutpat&lacus=dui&purus=maecenas&aliquet=tristique&at=est&feugiat=et&non=tempus&pretium=semper&quis=est&lectus=quam&suspendisse=pharetra&potenti=magna,1254,1122,0.54,2.46,18714,32587,13,15,5,1,4
Park College,Gulfport,Mississippi,39505,https://slashdot.org/mauris/sit.aspx?maecenas=justo&tristique=in&est=blandit&et=ultrices&tempus=enim&semper=lorem&est=ipsum&quam=dolor&pharetra=sit&magna=amet&ac=consectetuer&consequat=adipiscing&metus=elit,936,1524,1.31,2.41,23181,58916,21,17,15,13,15
Dayalbagh Educational Institute,New Haven,Connecticut,06520,https://miitbeian.gov.cn/convallis/tortor/risus.xml?eu=viverra&nibh=diam&quisque=vitae&id=quam&justo=suspendisse&sit=potenti,858,1127,1.04,0.65,11160,60502,28,27,16,2,15
University of Oulu,Saint Louis,Missouri,63131,http://freewebs.com/eget/semper/rutrum/nulla.jpg?in=vehicula&hac=consequat&habitasse=morbi&platea=a&dictumst=ipsum&morbi=integer&vestibulum=a&velit=nibh&id=in&pretium=quis&iaculis=justo&diam=maecenas&erat=rhoncus&fermentum=aliquam&justo=lacus&nec=morbi,1446,660,3.55,3.57,31133,46716,12,28,8,19,6
Universitas Tidar Magelang,Sacramento,California,94297,http://mac.com/lorem/quisque/ut/erat/curabitur.json?luctus=parturient&nec=montes&molestie=nascetur&sed=ridiculus&justo=mus&pellentesque=etiam&viverra=vel&pede=augue&ac=vestibulum&diam=rutrum&cras=rutrum&pellentesque=neque&volutpat=aenean&dui=auctor&maecenas=gravida&tristique=sem&est=praesent&et=id&tempus=massa&semper=id&est=nisl&quam=venenatis&pharetra=lacinia&magna=aenean&ac=sit&consequat=amet&metus=justo&sapien=morbi&ut=ut&nunc=odio&vestibulum=cras,807,1163,2.06,1.27,15762,59912,17,22,4,14,10
Australian Catholic University,Toledo,Ohio,43605,https://google.ru/proin/eu.json?condimentum=maecenas&neque=tristique,651,774,2.94,3.16,35043,77860,18,14,17,7,11
Universidad Santiago de Cali,Philadelphia,Pennsylvania,19120,http://a8.net/tempor/turpis/nec/euismod.json?pellentesque=in&quisque=ante&porta=vestibulum&volutpat=ante&erat=ipsum&quisque=primis&erat=in&eros=faucibus&viverra=orci&eget=luctus&congue=et&eget=ultrices&semper=posuere&rutrum=cubilia&nulla=curae&nunc=duis&purus=faucibus&phasellus=accumsan&in=odio&felis=curabitur&donec=convallis&semper=duis&sapien=consequat&a=dui&libero=nec&nam=nisi&dui=volutpat&proin=eleifend&leo=donec&odio=ut&porttitor=dolor&id=morbi&consequat=vel,1249,1459,1.08,1.81,12959,67744,12,29,15,19,6
Lewis & Clark Community College,Syracuse,New York,13210,https://apple.com/congue/vivamus.jpg?penatibus=volutpat&et=sapien&magnis=arcu&dis=sed&parturient=augue&montes=aliquam&nascetur=erat&ridiculus=volutpat&mus=in&vivamus=congue&vestibulum=etiam&sagittis=justo&sapien=etiam&cum=pretium&sociis=iaculis&natoque=justo&penatibus=in&et=hac&magnis=habitasse&dis=platea&parturient=dictumst&montes=etiam&nascetur=faucibus,891,1026,2.9,1.63,22845,79782,34,33,11,20,5
Kyoto University of Education,Saint Paul,Minnesota,55115,http://rediff.com/in/magna/bibendum/imperdiet.aspx?nullam=eget&molestie=eros&nibh=elementum&in=pellentesque&lectus=quisque&pellentesque=porta&at=volutpat&nulla=erat&suspendisse=quisque&potenti=erat&cras=eros&in=viverra&purus=eget&eu=congue&magna=eget&vulputate=semper&luctus=rutrum&cum=nulla&sociis=nunc&natoque=purus&penatibus=phasellus&et=in&magnis=felis&dis=donec&parturient=semper&montes=sapien&nascetur=a&ridiculus=libero&mus=nam&vivamus=dui&vestibulum=proin&sagittis=leo&sapien=odio&cum=porttitor&sociis=id&natoque=consequat&penatibus=in&et=consequat&magnis=ut&dis=nulla&parturient=sed&montes=accumsan&nascetur=felis&ridiculus=ut&mus=at&etiam=dolor&vel=quis&augue=odio&vestibulum=consequat&rutrum=varius&rutrum=integer,1266,1360,1.64,3.19,34228,79730,29,31,13,9,14
Columbia College South Carolina,San Diego,California,92137,http://tinypic.com/dapibus/at/diam/nam/tristique.aspx?sed=nulla&sagittis=eget&nam=eros&congue=elementum&risus=pellentesque&semper=quisque&porta=porta&volutpat=volutpat&quam=erat&pede=quisque&lobortis=erat&ligula=eros&sit=viverra&amet=eget&eleifend=congue&pede=eget&libero=semper&quis=rutrum&orci=nulla&nullam=nunc&molestie=purus&nibh=phasellus&in=in&lectus=felis&pellentesque=donec&at=semper&nulla=sapien&suspendisse=a&potenti=libero&cras=nam&in=dui&purus=proin&eu=leo&magna=odio&vulputate=porttitor&luctus=id&cum=consequat&sociis=in&natoque=consequat&penatibus=ut&et=nulla&magnis=sed&dis=accumsan&parturient=felis&montes=ut&nascetur=at&ridiculus=dolor&mus=quis&vivamus=odio&vestibulum=consequat&sagittis=varius&sapien=integer&cum=ac&sociis=leo&natoque=pellentesque&penatibus=ultrices&et=mattis&magnis=odio&dis=donec&parturient=vitae&montes=nisi&nascetur=nam&ridiculus=ultrices&mus=libero&etiam=non&vel=mattis&augue=pulvinar&vestibulum=nulla&rutrum=pede&rutrum=ullamcorper&neque=augue&aenean=a,1172,1384,2.76,0.96,27465,74028,35,26,1,12,15
Kushiro Public University of Economics,Laredo,Texas,78044,https://twitpic.com/justo.jsp?in=sit&magna=amet&bibendum=justo&imperdiet=morbi&nullam=ut&orci=odio&pede=cras&venenatis=mi&non=pede&sodales=malesuada&sed=in&tincidunt=imperdiet&eu=et&felis=commodo&fusce=vulputate&posuere=justo&felis=in&sed=blandit&lacus=ultrices&morbi=enim&sem=lorem&mauris=ipsum&laoreet=dolor&ut=sit&rhoncus=amet&aliquet=consectetuer&pulvinar=adipiscing&sed=elit&nisl=proin&nunc=interdum&rhoncus=mauris&dui=non&vel=ligula&sem=pellentesque&sed=ultrices&sagittis=phasellus&nam=id&congue=sapien&risus=in&semper=sapien&porta=iaculis&volutpat=congue&quam=vivamus&pede=metus&lobortis=arcu&ligula=adipiscing&sit=molestie&amet=hendrerit&eleifend=at&pede=vulputate&libero=vitae&quis=nisl&orci=aenean&nullam=lectus&molestie=pellentesque&nibh=eget&in=nunc&lectus=donec&pellentesque=quis&at=orci&nulla=eget&suspendisse=orci&potenti=vehicula&cras=condimentum&in=curabitur&purus=in&eu=libero&magna=ut&vulputate=massa&luctus=volutpat&cum=convallis&sociis=morbi&natoque=odio&penatibus=odio&et=elementum&magnis=eu&dis=interdum&parturient=eu&montes=tincidunt&nascetur=in&ridiculus=leo&mus=maecenas&vivamus=pulvinar&vestibulum=lobortis&sagittis=est&sapien=phasellus&cum=sit&sociis=amet&natoque=erat&penatibus=nulla&et=tempus&magnis=vivamus&dis=in,1410,972,3.43,2.34,40987,54123,30,13,14,12,15
"Monash University, Malaysia Campus",New Haven,Connecticut,06505,http://hatena.ne.jp/amet/sem/fusce/consequat/nulla.xml?ac=libero&nulla=non&sed=mattis&vel=pulvinar&enim=nulla&sit=pede&amet=ullamcorper&nunc=augue&viverra=a&dapibus=suscipit&nulla=nulla&suscipit=elit&ligula=ac&in=nulla&lacus=sed&curabitur=vel&at=enim&ipsum=sit&ac=amet&tellus=nunc&semper=viverra&interdum=dapibus&mauris=nulla&ullamcorper=suscipit&purus=ligula&sit=in&amet=lacus&nulla=curabitur&quisque=at&arcu=ipsum&libero=ac&rutrum=tellus&ac=semper&lobortis=interdum&vel=mauris&dapibus=ullamcorper&at=purus&diam=sit&nam=amet&tristique=nulla&tortor=quisque&eu=arcu&pede=libero,1458,1323,2.75,3.43,25886,74357,15,18,9,14,14
"Webster University, Vienna",El Paso,Texas,79934,http://sogou.com/magna/vestibulum/aliquet/ultrices/erat/tortor.js?turpis=hac&enim=habitasse&blandit=platea&mi=dictumst&in=maecenas&porttitor=ut&pede=massa&justo=quis&eu=augue&massa=luctus&donec=tincidunt&dapibus=nulla&duis=mollis&at=molestie&velit=lorem&eu=quisque&est=ut&congue=erat&elementum=curabitur&in=gravida&hac=nisi&habitasse=at&platea=nibh&dictumst=in&morbi=hac&vestibulum=habitasse&velit=platea&id=dictumst&pretium=aliquam&iaculis=augue&diam=quam&erat=sollicitudin&fermentum=vitae&justo=consectetuer&nec=eget&condimentum=rutrum&neque=at&sapien=lorem&placerat=integer&ante=tincidunt&nulla=ante&justo=vel&aliquam=ipsum&quis=praesent&turpis=blandit&eget=lacinia&elit=erat&sodales=vestibulum&scelerisque=sed&mauris=magna&sit=at&amet=nunc&eros=commodo&suspendisse=placerat&accumsan=praesent&tortor=blandit&quis=nam&turpis=nulla&sed=integer&ante=pede&vivamus=justo,768,808,1.65,1.04,13316,45617,20,22,19,7,7
